the_geom,sci_name,entity_id,field_bird_illustration_fid,img_url,cartodb_id,com_name,page_url,img_width,img_height,com_name2
,Accipiter striatus,417,17461,3632_Sibl_9780307957900_art_r1.jpg,465,Sharp-shinned Hawk,http://www.audubon.org/node/417,677,1686,Sharp-shinned Hawk
,Buteo lineatus,389,17466,3651_Sibl_9780307957900_art_r1.jpg,466,Red-shouldered Hawk,http://www.audubon.org/node/389,859,1686,Red-shouldered Hawk
,Accipiter gentilis,416,17471,3659_Sibl_9780307957900_art_r1.jpg,467,Northern Goshawk,http://www.audubon.org/node/416,733,1686,Northern Goshawk
,Bubo virginianus,466,17476,3668_Sibl_9780307957900_art_r1.jpg,468,Great Horned Owl,http://www.audubon.org/node/466,943,1686,Great Horned Owl
,Rissa tridactyla,352,17481,3682_Sibl_9780307957900_art_r1.jpg,469,Black-legged Kittiwake,http://www.audubon.org/node/352,2478,1686,Black-legged Kittiwake
,Rissa brevirostris,351,17486,3681_Sibl_9780307957900_art_r1.jpg,470,Red-legged Kittiwake,http://www.audubon.org/node/351,2380,1686,Red-legged Kittiwake
,Rhodostethia rosea,350,17491,3700_Sibl_9780307957900_art_r1.jpg,471,Rosss Gull,http://www.audubon.org/node/350,2363,1686,Rosss Gull
,Larus schistisagus,346,17501,3713_Sibl_9780307957900_art_r1.jpg,473,Slaty-backed Gull,http://www.audubon.org/node/346,2148,1686,Slaty-backed Gull
,Larus thayeri,347,17506,3726_Sibl_9780307957900_art_r1.jpg,474,Thayers Gull,http://www.audubon.org/node/347,2125,1686,Thayers Gull
,Leucophaeus atricilla,328,17511,3735_Sibl_9780307957900_art_r1.jpg,475,Laughing Gull,http://www.audubon.org/node/328,2566,1686,Laughing Gull
,Larus glaucescens,334,17516,3741_Sibl_9780307957900_art_r1.jpg,476,Glaucous-winged Gull,http://www.audubon.org/node/334,2404,1686,Glaucous-winged Gull
,Leucophaeus pipixcan,344,17521,3755_Sibl_9780307957900_art_r1.jpg,477,Franklins Gull,http://www.audubon.org/node/344,2680,1686,Franklins Gull
,Pagophila eburnea,348,17526,3765_Sibl_9780307957900_art_r1.jpg,478,Ivory Gull,http://www.audubon.org/node/348,2805,1686,Ivory Gull
,Hydrocoloeus minutus,341,17531,3775_Sibl_9780307957900_art_r1.jpg,479,Little Gull,http://www.audubon.org/node/341,2405,1686,Little Gull
,Chroicocephalus ridibundus,345,17536,3792_Sibl_9780307957900_art_r1.jpg,480,Black-headed Gull,http://www.audubon.org/node/345,2395,1686,Black-headed Gull
,Chroicocephalus philadelphia,343,17541,3791_Sibl_9780307957900_art_r1.jpg,481,Bonapartes Gull,http://www.audubon.org/node/343,2329,1686,Bonapartes Gull
,Larus hyperboreus,337,17546,3815_Sibl_9780307957900_art_r1.jpg,482,Glaucous Gull,http://www.audubon.org/node/337,2135,1686,Glaucous Gull
,Larus heermanni,336,17551,3836_Sibl_9780307957900_art_r1.jpg,483,Heermanns Gull,http://www.audubon.org/node/336,2391,1686,Heermanns Gull
,Larus californicus,330,17556,3855_Sibl_9780307957900_art_r1.jpg,484,California Gull,http://www.audubon.org/node/330,2097,1686,California Gull
,Larus marinus,340,17571,3893_Sibl_9780307957900_art_r1.jpg,485,Great Black-backed Gull,http://www.audubon.org/node/340,1981,1686,Great Black-backed Gull
,Larus livens,339,17576,3903_Sibl_9780307957900_art_r1.jpg,486,Yellow-footed Gull,http://www.audubon.org/node/339,2120,1686,Yellow-footed Gull
,Larus crassirostris,379,17581,3918_Sibl_9780307957900_art_r1.jpg,487,Black-tailed Gull,http://www.audubon.org/node/379,2490,1686,Black-tailed Gull
,Larus dominicanus,380,17586,3915_Sibl_9780307957900_art_r1.jpg,488,Kelp Gull,http://www.audubon.org/node/380,2151,1686,Kelp Gull
,Larus fuscus,333,17591,3929_Sibl_9780307957900_art_r1.jpg,489,Lesser Black-backed Gull,http://www.audubon.org/node/333,2151,1686,Lesser Black-backed Gull
,Larus delawarensis,332,17596,3941_Sibl_9780307957900_art_r1.jpg,490,Ring-billed Gull,http://www.audubon.org/node/332,2056,1686,Ring-billed Gull
,Setophaga palmarum,544,17601,3952_Sibl_9780307957900_art_r1.jpg,491,Palm Warbler,http://www.audubon.org/node/544,2168,1686,Palm Warbler
,Phainopepla nitens,527,17606,3960_Sibl_9780307957900_art_r1.jpg,492,Phainopepla,http://www.audubon.org/node/527,1194,1686,Phainopepla
,Pycnonotus jocosus,479,17611,3962_Sibl_9780307957900_art_r1.jpg,493,Red-whiskered Bulbul,http://www.audubon.org/node/479,988,1686,Red-whiskered Bulbul
,Poecile rufescens,825,17616,3971_Sibl_9780307957900_art_r1.jpg,494,Chestnut-backed Chickadee,http://www.audubon.org/node/825,1863,1686,Chestnut-backed Chickadee
,Poecile sclateri,826,17621,3966_Sibl_9780307957900_art_r1.jpg,495,Mexican Chickadee,http://www.audubon.org/node/826,1735,1686,Mexican Chickadee
,Cistothorus palustris,471,17651,4014_Sibl_9780307957900_art_r1.jpg,496,Marsh Wren,http://www.audubon.org/node/471,1435,1686,Marsh Wren
,Catherpes mexicanus,470,17656,4018_Sibl_9780307957900_art_r1.jpg,497,Canyon Wren,http://www.audubon.org/node/470,2326,1686,Canyon Wren
,Salpinctes obsoletus,473,17661,4022_Sibl_9780307957900_art_r1.jpg,498,Rock Wren,http://www.audubon.org/node/473,1890,1686,Rock Wren
,Thryothorus ludovicianus,475,17666,4027_Sibl_9780307957900_art_r1.jpg,499,Carolina Wren,http://www.audubon.org/node/475,1623,1686,Carolina Wren
